Device: Apple iPhone10,4; eSense app version: 4.3.3; ios version: 13.2.3;
BESCHREIBUNG;WERT
NAME MESSUNG;Messung-19112019-163304;;;;
DATUM (SS:MM:SS);19.11.19 16:33:04;;;;
ZEIT (SS:MM:SS);00:02:22;;;;
MAXIMUM;8,13 µS;;;;
MINIMUM;7,32 µS;;;;
DIFFERENZ MIN/MAX;0,81 µS;;;;
DURCHSCHNITT SESSION;7,77 µS;;;;
ZUNAHME (SS:MM:SS);00:00:15;;;;
STETIG (SS:MM:SS);00:00:04;;;;
ABNAHME (SS:MM:SS);00:02:02;;;;
;;;;;
GESAMT SCR;6;;;;
% SCR DER SITZUNG;19,7%;;;;
0-5 SCR/MIN (SS:MM:SS);00:02:25;;;;
6-9 SCR/MIN (SS:MM:SS);00:00:00;;;;
10-15 SCR/MIN (SS:MM:SS);00:00:00;;;;
>16 SCR/MIN (SS:MM:SS);00:00:00;;;;
;;;;;
;;;;;
STATISTIK;;;;;
SEKUNDE;MIKROSIEMENS;ZEITSTEMPEL;SCR;SCR/MIN;MARKIERUNG
0,0;7,92;16:33:04:288;0;0;
0,2;7,92;16:33:04:488;0;0;
0,4;7,93;16:33:04:688;0;0;
0,6;7,93;16:33:04:888;0;0;
0,8;7,94;16:33:05:088;0;0;
1,0;7,95;16:33:05:288;0;0;
1,2;7,96;16:33:05:488;0;0;
1,4;7,97;16:33:05:688;0;0;
1,6;7,98;16:33:05:888;0;0;
1,8;7,98;16:33:06:088;0;0;
2,0;7,98;16:33:06:288;0;0;
2,2;7,98;16:33:06:488;0;0;
2,4;7,99;16:33:06:688;0;0;
2,6;7,99;16:33:06:888;0;0;
2,8;7,99;16:33:07:088;0;0;
3,0;8,00;16:33:07:288;0;0;
3,2;8,01;16:33:07:488;0;0;
3,4;8,02;16:33:07:688;0;0;
3,6;8,03;16:33:07:888;0;0;
3,8;8,04;16:33:08:088;0;0;
4,0;8,04;16:33:08:288;0;0;
4,2;8,04;16:33:08:488;0;0;
4,4;8,04;16:33:08:688;1;0;
4,6;8,03;16:33:08:888;1;0;
4,8;8,03;16:33:09:088;1;0;
5,0;8,03;16:33:09:288;1;0;
5,2;8,02;16:33:09:488;1;0;
5,4;8,02;16:33:09:688;1;0;
5,6;8,01;16:33:09:888;1;0;
5,8;8,00;16:33:10:088;1;0;
6,0;8,00;16:33:10:288;1;0;
6,2;8,00;16:33:10:488;1;0;
6,4;8,00;16:33:10:688;1;0;
6,6;8,01;16:33:10:888;1;0;
6,8;8,03;16:33:11:088;1;0;
7,0;8,05;16:33:11:288;1;0;
7,2;8,07;16:33:11:488;1;0;
7,4;8,08;16:33:11:688;1;0;
7,6;8,09;16:33:11:888;1;0;
7,8;8,10;16:33:12:088;1;0;
8,0;8,10;16:33:12:288;1;1;
8,2;8,10;16:33:12:488;1;1;
8,4;8,10;16:33:12:688;1;1;
8,6;8,09;16:33:12:888;1;1;
8,8;8,09;16:33:13:088;1;1;
9,0;8,08;16:33:13:288;0;1;
9,2;8,08;16:33:13:488;0;1;
9,4;8,08;16:33:13:688;0;1;
9,6;8,07;16:33:13:888;0;1;
9,8;8,06;16:33:14:088;0;1;
10,0;8,06;16:33:14:288;0;1;
10,2;8,05;16:33:14:488;0;1;
10,4;8,05;16:33:14:688;0;1;
10,6;8,04;16:33:14:888;1;1;
10,8;8,04;16:33:15:088;1;1;
11,0;8,03;16:33:15:288;1;1;
11,2;8,03;16:33:15:488;1;1;
11,4;8,02;16:33:15:688;1;1;
11,6;8,02;16:33:15:888;1;1;
11,8;8,02;16:33:16:088;1;1;
12,0;8,02;16:33:16:288;1;2;
12,2;8,01;16:33:16:488;1;2;
12,4;8,01;16:33:16:688;1;2;
12,6;8,01;16:33:16:888;1;2;
12,8;8,01;16:33:17:088;1;2;
13,0;8,00;16:33:17:288;0;2;
13,2;8,00;16:33:17:488;0;2;
13,4;8,00;16:33:17:688;0;2;
13,6;7,99;16:33:17:888;0;2;
13,8;7,99;16:33:18:088;0;2;
14,0;7,99;16:33:18:288;0;2;
14,2;8,00;16:33:18:488;0;2;
14,4;8,01;16:33:18:688;0;2;
14,6;8,01;16:33:18:888;0;2;
14,8;8,01;16:33:19:088;0;2;
15,0;8,01;16:33:19:288;0;2;
15,2;8,01;16:33:19:488;0;2;
15,4;8,01;16:33:19:688;0;2;
15,6;8,01;16:33:19:888;0;2;
15,8;8,01;16:33:20:088;0;2;
16,0;8,00;16:33:20:288;0;2;
16,2;8,00;16:33:20:488;0;2;
16,4;8,00;16:33:20:688;0;2;
16,6;7,99;16:33:20:888;0;2;
16,8;7,99;16:33:21:088;0;2;
17,0;7,99;16:33:21:288;0;2;
17,2;7,98;16:33:21:488;0;2;
17,4;7,98;16:33:21:688;0;2;
17,6;7,97;16:33:21:888;0;2;
17,8;7,97;16:33:22:088;0;2;
18,0;7,97;16:33:22:288;0;2;
18,2;7,96;16:33:22:488;0;2;
18,4;7,97;16:33:22:688;0;2;
18,6;7,96;16:33:22:888;0;2;
18,8;7,96;16:33:23:088;0;2;
19,0;7,96;16:33:23:288;0;2;
19,2;7,96;16:33:23:488;0;2;
19,4;7,95;16:33:23:688;0;2;
19,6;7,95;16:33:23:888;0;2;
19,8;7,95;16:33:24:088;0;2;
20,0;7,94;16:33:24:288;0;2;
20,2;7,94;16:33:24:488;0;2;
20,4;7,94;16:33:24:688;0;2;
20,6;7,94;16:33:24:888;0;2;
