20 November 2019 12:16:16
Time (ms),HR (bpm),R-R (ms)
5468,66,975
6557,65,1089
7469,65,912
8517,64,1048
9399,65,882
10270,66,871
11303,65,1033
12237,65,934
13211,65,974
14306,64,1095
15398,63,1092
16325,63,927
17337,63,1012
18404,63,1067
19339,63,935
20334,63,995
21440,62,1106
22474,61,1034
23468,61,994
24630,60,1162
25717,60,1087
26713,60,996
27831,60,1118
29001,59,1170
30011,59,1010
31096,59,1085
32271,58,1175
33304,58,1033
34345,58,1041
35538,57,1193
36525,58,987
37550,58,1025
38642,58,1092
39541,59,899
40426,60,885
41614,59,1188
42728,59,1114
43706,59,978
44822,59,1116
45890,59,1068
46883,59,993
47963,59,1080
49014,59,1051
49968,59,954
51039,59,1071
52113,59,1074
53070,59,957
54097,59,1027
55127,60,1030
56046,60,919
57218,59,1172
58352,59,1134
59338,59,986
60435,59,1097
61618,58,1183
62622,58,1004
63696,58,1074
64818,58,1122
65764,59,946
66769,59,1005
67809,59,1040
68712,60,903
69859,59,1147
71030,58,1171
72030,59,1000
73134,58,1104
74296,58,1162
75325,58,1029
76437,58,1112
77569,57,1132
78567,58,998
79685,57,1118
80825,57,1140
81838,57,1013
82976,57,1138
84091,57,1115
85145,57,1054
86269,57,1124
87334,57,1065
88416,57,1082
89601,56,1185
90656,56,1055
91708,57,1052
92869,56,1161
94035,56,1166
95111,56,1076
97080,56,1969
98146,56,1066
99214,56,1068
100391,56,1177
102496,56,2105
103571,56,1075
104516,57,945
105566,57,1050
106683,57,1117
107604,58,921
108677,58,1073
109836,57,1159
110889,57,1053
112007,57,1118
113143,57,1136
114118,58,975
115200,57,1082
116299,57,1099
117309,58,1010
118463,57,1154
119496,57,1033
120567,57,1071
121718,57,1151
122741,57,1023
123853,57,1112
125001,56,1148
126033,57,1032
127059,57,1026
128183,57,1124
129176,58,993
130203,58,1027
131306,58,1103
132245,59,939
133288,59,1043
134385,58,1097
135321,59,936
136384,59,1063
137498,59,1114
138476,59,978
139600,59,1124
140766,58,1166
141764,58,998
142856,58,1092
143986,58,1130
144987,58,1001
146125,57,1138
147190,58,1065
148147,58,957
149205,58,1058
150203,59,998
151233,59,1030
152394,58,1161
153406,58,1012
154437,59,1031
155401,59,964
156274,61,873
157116,61,842
158005,62,889
158966,62,961
159857,63,891
160793,64,936
161678,64,885
162555,65,877
163493,65,938
