19 November 2019 10:48:03
Time (ms),HR (bpm),R-R (ms)
17128,71,842
17953,71,825
18782,72,829
19624,72,842
20459,72,835
21313,72,854
22164,72,851
23054,72,890
23944,71,890
24782,71,838
25607,72,825
26427,72,820
27257,72,830
28121,72,864
28964,72,843
29810,72,846
30681,72,871
31599,72,918
32539,71,940
33414,71,875
34288,71,874
35160,70,872
36033,70,873
36879,71,846
37689,71,810
38513,72,824
39359,71,846
40256,71,897
41171,71,915
42034,71,863
42888,71,854
43759,71,871
44661,71,902
45536,71,875
46399,71,863
47289,70,890
48211,70,922
49128,70,917
50042,69,914
50913,69,871
51825,69,912
52736,69,911
53649,69,913
54504,69,855
55354,69,850
56182,70,828
57029,70,847
57920,70,891
58787,70,867
59660,70,873
60513,70,853
61415,70,902
62335,70,920
63276,69,941
64215,69,939
65136,68,921
66058,68,922
66987,68,929
67904,68,917
68783,68,879
69641,69,858
70513,69,872
71417,69,904
72364,68,947
73266,68,902
74154,69,888
74993,69,839
75762,70,769
76492,70,730
77200,72,708
77938,72,738
78758,72,820
79659,72,901
80576,71,917
81423,71,847
82286,71,863
83145,71,859
84037,71,892
84913,71,876
85769,71,856
86578,72,809
87368,72,790
88187,73,819
89025,73,838
89920,72,895
90789,72,869
91704,71,915
92630,71,926
93560,70,930
94472,70,912
95329,70,857
96154,71,825
96974,71,820
97793,72,819
98628,72,835
99463,72,835
100316,72,853
101213,72,897
102121,71,908
103018,71,897
103902,71,884
104833,69,931
105762,69,929
106661,69,899
107492,70,831
108293,71,801
109121,71,828
109966,72,845
110792,72,826
111620,72,828
112475,72,855
113364,72,889
114255,71,891
115086,72,831
115936,72,850
116792,72,856
117657,72,865
118505,72,848
119342,72,837
120196,72,854
121066,72,870
121955,71,889
122836,71,881
123685,71,849
124536,71,851
125406,71,870
126294,70,888
127213,70,919
128084,71,871
128969,70,885
129902,70,933
130852,69,950
131799,69,947
132675,69,876
133535,69,860
134391,69,856
135253,70,862
136111,70,858
136948,70,837
137799,70,851
138701,70,902
139629,69,928
140541,69,912
141416,69,875
142308,69,892
143229,69,921
144158,69,929
145055,69,897
145896,69,841
146746,69,850
147640,69,894
148555,69,915
149498,69,943
150381,69,883
151280,69,899
152225,68,945
153168,68,943
154102,68,934
154952,68,850
155812,68,860
156700,68,888
157621,68,921
158555,68,934
159448,68,893
160336,68,888
161215,69,879
162080,69,865
162900,70,820
163723,70,823
164516,71,793
165331,73,815
166093,73,762
166892,73,799
