19 November 2019 17:39:42
Time (ms),HR (bpm),R-R (ms)
3396,85,765
4102,86,706
4801,86,699
5511,86,710
6183,87,672
6856,87,673
7565,87,709
8290,87,725
8988,86,698
9747,86,759
10499,86,752
11226,86,727
12027,84,801
12777,84,750
13476,85,699
14172,85,696
14886,85,714
15563,86,677
16231,86,668
16963,86,732
17694,86,731
18387,86,693
19095,86,708
19868,85,773
20623,85,755
21345,85,722
22063,85,718
22814,85,751
23507,86,693
24187,86,680
24902,86,715
25624,86,722
26325,86,701
27023,86,698
27765,86,742
28489,86,724
29190,86,701
29935,85,745
30663,86,728
31354,86,691
32024,87,670
32718,86,694
33446,86,728
34132,87,686
34808,87,676
35523,87,715
36246,87,723
36944,87,698
37642,87,698
38374,87,732
39072,87,698
39740,88,668
40423,88,683
41110,88,687
41770,89,660
42423,89,653
43095,89,672
43762,90,667
44438,90,676
45134,90,696
45870,88,736
46614,88,744
47315,88,701
48012,88,697
48740,88,728
49465,87,725
50152,87,687
50847,87,695
51587,87,740
52319,87,732
53011,87,692
53731,87,720
54468,86,737
55173,86,705
55890,86,717
56663,85,773
57394,85,731
58094,85,700
58830,85,736
59603,84,773
60352,84,749
61070,84,718
61839,84,769
62628,83,789
63365,83,737
64145,83,780
64930,82,785
65646,82,716
66365,83,719
67098,83,733
67794,84,696
68489,84,695
69231,84,742
69956,84,725
70675,84,719
71410,83,735
72229,83,819
73071,82,842
73828,82,757
74546,82,718
75279,82,733
75994,83,715
76682,84,688
77392,84,710
78179,83,787
78927,83,748
79678,82,751
80486,82,808
81247,82,761
81957,83,710
82649,83,692
83364,84,715
84118,83,754
84839,84,721
85566,84,727
86350,83,784
87120,83,770
87839,83,719
88574,83,735
89331,83,757
90054,84,723
90737,84,683
91397,85,660
92057,86,660
92765,86,708
93527,85,762
94255,85,728
94965,85,710
95696,85,731
96419,85,723
97104,86,685
97811,86,707
98541,86,730
99241,86,700
99942,86,701
100672,86,730
101377,86,705
102087,86,710
102832,86,745
103533,86,701
104218,86,685
104945,86,727
105659,86,714
106335,87,676
107033,87,698
107778,86,745
108506,85,728
109258,85,752
110038,85,780
110760,85,722
111485,85,725
112213,85,728
112907,85,694
113611,85,704
114349,85,738
115054,85,705
115775,85,721
116544,84,769
117274,84,730
118007,84,733
118752,84,745
119455,84,703
120160,85,705
120908,84,748
121631,85,723
122328,85,697
123049,85,721
123751,86,702
124434,86,683
125140,86,706
125817,87,677
126477,87,660
127162,88,685
127869,88,707
128564,88,695
129294,87,730
130042,87,748
130751,87,709
131443,87,692
132157,87,714
132844,87,687
133530,87,686
134258,87,728
134967,87,709
135658,87,691
136374,87,716
137086,87,712
137771,87,685
138469,87,698
139172,87,703
139861,87,689
140566,87,705
141331,86,765
142052,86,721
142772,86,720
143538,85,766
144274,85,736
144994,85,720
145786,84,792
146563,83,777
147346,82,783
148110,82,764
148831,83,721
