19 November 2019 14:36:31
Time (ms),HR (bpm),R-R (ms)
3907,91,682
4568,92,661
5217,92,649
5861,92,644
6543,91,682
7248,91,705
7956,91,708
8679,88,723
9473,88,794
10241,87,768
10976,87,735
11706,86,730
12429,86,723
13140,86,711
13818,87,678
14486,87,668
15199,87,713
15956,86,757
16712,86,756
17468,85,756
18256,84,788
19041,83,785
19808,83,767
20582,83,774
21356,82,774
22127,82,771
22872,82,745
23611,82,739
24355,82,744
25103,82,748
25856,82,753
26613,82,757
27390,82,777
28141,82,751
28885,82,744
29655,82,770
30410,81,755
31149,82,739
31897,82,748
32635,82,738
33337,83,702
34058,83,721
34785,83,727
35511,83,726
36232,84,721
36954,84,722
37685,84,731
38385,85,700
39095,85,710
39816,85,721
40559,84,743
41304,84,745
42011,84,707
42728,85,717
43438,85,710
44153,85,715
44825,86,672
45450,87,625
46072,87,622
46736,88,664
47536,87,800
48303,87,767
49061,86,758
49781,86,720
50506,86,725
51243,86,737
51987,85,744
52732,85,745
53450,85,718
54190,85,740
54910,85,720
55608,85,698
56303,85,695
56992,86,689
57698,86,706
58403,86,705
59107,86,704
59783,88,676
60439,88,656
61114,88,675
61822,89,708
62483,89,661
63138,89,655
63817,89,679
64557,89,740
65294,88,737
66013,88,719
66713,88,700
67430,87,717
68156,87,726
68880,87,724
69563,87,683
70252,88,689
70943,88,691
71625,88,682
72273,90,648
72905,90,632
73545,91,640
74229,91,684
74888,91,659
75576,91,688
76301,89,725
77018,89,717
77736,89,718
78438,89,702
79095,89,657
79748,90,653
80392,91,644
81075,91,683
81777,90,702
82457,90,680
83161,90,704
83870,89,709
84591,88,721
85307,88,716
85987,89,680
86673,89,686
87353,89,680
88033,89,680
88728,89,695
89434,89,706
90105,89,671
90777,89,672
91459,89,682
92156,89,697
92866,89,710
93568,89,702
94227,89,659
94870,91,643
95526,91,656
96200,91,674
96905,89,705
97627,89,722
98325,89,698
98984,91,659
99623,91,639
100255,91,632
100927,92,672
101553,92,626
102198,92,645
102858,92,660
103547,92,689
104208,92,661
104841,93,633
105480,93,639
106121,94,641
106765,94,644
107387,94,622
107994,96,607
108602,96,608
109212,97,610
109820,97,608
110440,97,620
111054,98,614
111677,98,623
112330,97,653
113000,97,670
113680,96,680
114315,96,635
114953,96,638
115583,96,630
116218,97,635
116838,97,620
117448,97,610
118069,97,621
118716,97,647
119385,95,669
120076,95,691
120738,95,662
121445,93,707
122169,93,724
122875,92,706
123520,93,645
124161,93,641
124808,93,647
125433,94,625
126056,94,623
126653,96,597
127262,96,609
127903,96,641
128595,95,692
129280,95,685
129966,94,686
130656,93,690
131338,93,682
132032,92,694
132680,93,648
133306,93,626
133937,94,631
134582,94,645
135257,94,675
135887,95,630
136507,95,620
137140,95,633
137784,95,644
138439,95,655
139096,95,657
139763,95,667
140392,95,629
141028,95,636
141667,95,639
142314,95,647
142973,95,659
143597,95,624
144217,96,620
144857,96,640
145508,96,651
146229,94,721
146969,93,740
147626,93,657
148281,93,655
148898,95,617
149509,95,611
150117,96,608
150715,96,598
151316,98,601
151916,98,600
