20 November 2019 13:21:11
Time (ms),HR (bpm),R-R (ms)
7582,98,676
8246,97,664
8920,97,674
9565,96,645
10210,96,645
10871,96,661
11522,96,651
12143,96,621
12751,97,608
13355,97,604
13965,98,610
14582,98,617
15202,98,620
15843,98,641
16505,97,662
17152,97,647
17764,98,612
18378,98,614
18986,98,608
19608,98,622
20221,98,613
20827,99,606
21431,99,604
22041,99,610
22636,100,595
23219,100,583
23804,101,585
24388,101,584
24966,103,578
25528,103,562
26100,104,572
26670,104,570
27233,105,563
27788,106,555
28343,106,555
28902,107,559
29464,107,562
30029,107,565
30588,107,559
31154,108,566
31727,108,573
32303,107,576
32874,107,571
33456,107,582
34037,107,581
34627,107,590
35207,107,580
35784,107,577
36362,106,578
36950,106,588
37536,106,586
38110,106,574
38690,106,580
39276,106,586
39870,106,594
40457,105,587
41048,105,591
41652,105,604
42275,104,623
42880,104,605
43477,103,597
44080,103,603
44681,103,601
45279,103,598
45871,103,592
46483,102,612
47105,102,622
47729,102,624
48348,101,619
48978,101,630
49608,101,630
50255,99,647
50928,99,673
51618,98,690
52302,95,684
53003,95,701
53710,94,707
54393,94,683
55027,94,634
55651,95,624
56262,95,611
56879,96,617
57504,96,625
58137,96,633
58799,96,662
59495,95,696
60223,95,728
60993,93,770
61793,91,800
62569,88,776
63360,88,791
64168,87,808
64944,86,776
65666,86,722
66383,86,717
67114,85,731
67852,85,738
68612,85,760
69393,84,781
70188,83,795
70980,82,792
71798,81,818
72619,81,821
73407,80,788
74155,80,748
74894,81,739
75609,81,715
76276,83,667
76950,84,674
77658,84,708
78412,84,754
79148,84,736
79934,82,786
80747,82,813
81566,81,819
82334,81,768
83089,81,755
83849,81,760
84579,81,730
85326,81,747
86092,81,766
86844,81,752
87566,82,722
88308,82,742
89051,82,743
89787,82,736
90484,83,697
91200,84,716
91917,84,717
92638,84,721
93311,85,673
93988,85,677
94644,88,656
95273,88,629
95895,89,622
96492,92,597
97099,92,607
97724,93,625
98391,92,667
99106,92,715
99825,92,719
100524,91,699
101250,91,726
101985,90,735
102714,88,729
103452,88,738
104210,87,758
104984,86,774
105747,85,763
106512,85,765
107286,84,774
108027,84,741
108729,85,702
109424,85,695
110138,85,714
110881,84,743
111626,84,745
112348,84,722
113111,84,763
113881,83,770
114631,83,750
115428,83,797
116267,81,839
117089,81,822
117921,79,832
118761,79,840
119570,78,809
120316,79,746
121076,79,760
121870,79,794
122672,79,802
123427,79,755
124196,79,769
124998,79,802
125786,79,788
126576,79,790
127366,78,790
128163,78,797
128940,78,777
129738,78,798
130551,78,813
131350,78,799
132143,78,793
132963,77,820
133801,77,838
134610,77,809
135394,77,784
136184,77,790
136978,77,794
137746,77,768
138523,77,777
139328,77,805
140157,77,829
140954,77,797
141708,77,754
142487,77,779
143299,77,812
144114,77,815
144921,77,807
145758,76,837
146614,76,856
147448,76,834
148271,75,823
149086,75,815
149900,75,814
150678,76,778
151462,76,784
152252,76,790
153062,76,810
153846,77,784
154639,77,793
155441,77,802
156227,77,786
157010,77,783
157803,77,793
158562,77,759
159322,78,760
160091,78,769
160846,79,755
161585,79,739
162336,79,751
163081,80,745
163794,80,713
