72,836
72,827
72,874
72,906
72,847
72,847
71,927
70,945
70,944
69,968
68,997
67,993
67,970
67,913
67,903
66,979
65,1016
65,965
65,941
65,986
64,988
65,943
65,949
64,992
64,1010
64,970
64,956
64,992
63,995
64,949
64,940
64,978
64,966
64,923
64,790
65,863
65,974
65,954
64,984
64,1000
64,978
64,933
64,926
65,898
65,927
65,898
65,950
65,1025
64,1020
64,993
63,1005
63,1018
63,988
63,973
63,982
63,1003
62,994
62,1032
62,1063
61,1058
61,1019
61,1045
60,1082
60,1044
60,1033
60,1047
59,1078
59,1043
60,1000
60,1025
60,1049
60,1025
59,1064
59,1080
59,1057
59,1006
59,1003
59,1041
59,1046
59,1019
59,1043
59,1073
59,1061
59,993
60,948
60,987
60,1010
60,989
61,975
61,1012
61,1026
61,1015
61,938
63,859
63,894
63,982
63,1005
63,945
64,903
64,953
63,1009
64,966
63,942
63,985
63,1017
63,974
63,960
63,1016
63,978
63,947
63,1003
63,1013
63,975
62,996
64,859
65,847
65,919
64,1028
64,1031
64,995
64,961
64,970
64,991
64,923
64,888
64,966
64,991
64,974
64,930
65,898
65,928
64,987
64,939
65,924
64,996
64,1009
64,985
63,1005
63,1025
63,979
63,942
63,960
63,993
63,949
64,924
64,979
63,1003
63,974
63,986
63,986
63,944
63,925
64,934
64,946
64,907
64,940
65,883
66,905
66,868
