60,1100
60,1073
60,999
60,1096
60,1022
60,1004
59,1101
59,1035
60,929
60,1069
59,1094
60,936
60,1044
59,1109
59,1007
59,1067
59,1116
59,978
59,1006
59,1100
59,1097
60,910
61,934
60,1020
60,1169
59,1070
60,943
60,1023
60,1082
60,1000
59,1082
59,1151
59,1072
59,977
59,1036
60,1067
60,943
60,1023
59,1076
59,1010
60,975
60,1057
60,1049
60,939
60,1100
59,1184
58,1069
59,961
59,1061
58,1142
58,1034
59,1033
58,1098
59,1009
59,948
60,1010
59,1043
60,925
61,923
61,973
61,1116
62,955
62,922
62,944
62,990
62,1025
61,1097
62,942
61,1016
60,1164
59,1136
60,973
60,1040
59,1108
59,1075
59,1031
59,1124
58,1171
58,1038
57,1124
57,1129
58,959
58,1031
58,1085
58,1030
59,946
59,1045
59,1079
60,942
60,960
60,1022
60,1044
61,952
61,1002
60,1096
60,1077
60,959
60,1052
59,1137
59,1045
59,993
59,1135
58,1120
59,956
59,1075
58,1095
59,954
59,1099
58,1166
58,987
58,1055
58,1142
58,978
60,1000
60,905
60,1040
60,1038
60,946
60,1049
59,1124
60,978
60,1044
59,1110
59,1012
60,985
59,1061
60,1002
60,930
60,1096
59,1108
60,955
59,1084
59,1122
59,979
59,1081
59,1108
59,954
59,1084
58,1152
59,995
58,1099
58,1151
58,1010
58,1029
58,1076
59,910
60,1001
60,969
61,856
62,940
63,952
63,898
63,974
63,976
64,910
64,954
