19 November 2019 09:01:54
Time (ms),HR (bpm),R-R (ms)
11694,78,788
12490,78,796
13301,77,811
14097,77,796
14917,77,820
15744,77,827
16565,76,821
17354,77,789
18130,77,776
18923,77,793
19709,77,786
20481,77,772
21211,79,730
21942,79,731
22693,79,751
23478,79,785
24307,78,829
25157,78,850
26011,77,854
26822,77,811
27639,77,817
28468,76,829
29309,76,841
30165,75,856
31031,75,866
31894,74,863
32729,74,835
33525,75,796
34332,75,807
35141,75,809
35963,75,822
36793,75,830
37592,75,799
38389,75,797
39216,75,827
40056,75,840
40918,74,862
41745,74,827
42562,74,817
43409,74,847
44259,74,850
45079,74,820
45885,74,806
46723,74,838
47562,74,839
48374,74,812
49155,75,781
49957,75,802
50784,75,827
51648,74,864
52523,74,875
53402,73,879
54240,73,838
55080,73,840
55949,73,869
56857,72,908
57693,72,836
58456,73,763
59235,75,779
60017,75,782
60841,75,824
61735,74,894
62632,73,897
63506,73,874
64394,72,888
65284,72,890
66171,72,887
67020,72,849
67871,72,851
68733,72,862
69594,71,861
70398,73,804
71203,73,805
72025,73,822
72860,73,835
73668,73,808
74471,74,803
75298,74,827
76127,74,829
76930,74,803
77699,75,769
78494,75,795
79307,75,813
80136,75,829
80943,75,807
81766,75,823
82596,75,830
83380,75,784
84110,76,730
84855,78,745
85600,78,745
86317,79,717
87053,79,736
87806,80,753
88588,80,782
89391,79,803
90175,79,784
90968,78,793
91776,78,808
92595,78,819
93413,78,818
94212,78,799
95018,77,806
95854,77,836
96690,76,836
97494,76,804
98288,76,794
99100,76,812
99919,76,819
100746,76,827
101531,76,785
102304,76,773
103101,76,797
103907,76,806
104733,76,826
105520,76,787
106319,76,799
107140,76,821
107959,76,819
108738,76,779
109511,77,773
110306,77,795
111122,77,816
111898,77,776
112667,77,769
113441,78,774
114210,78,769
114952,78,742
115698,79,746
116474,79,776
117257,79,783
118018,79,761
118768,79,750
119560,79,792
120357,79,797
121128,79,771
121885,79,757
122670,79,785
123477,79,807
124291,78,814
125085,78,794
125914,78,829
126754,77,840
127551,77,797
128315,77,764
129090,78,775
129866,78,776
130629,78,763
131380,79,751
132176,78,796
133013,78,837
133853,77,840
134645,77,792
135454,77,809
136263,77,809
137040,78,777
137799,78,759
138581,78,782
139364,78,783
140109,78,745
140877,78,768
141667,78,790
142463,78,796
143216,79,753
143984,79,768
144768,79,784
145571,79,803
146326,79,755
147104,79,778
147901,79,797
148712,78,811
149514,78,802
150344,77,830
151176,77,832
152009,77,833
152796,77,787
153575,77,779
154379,77,804
155197,77,818
156033,76,836
156843,76,810
157674,76,831
158542,76,868
159271,76,729
160185,75,914
160563,75,378
160955,75,392
161713,76,758
162489,76,776
163250,77,761
163970,78,720
164571,78,601
165003,78,432
165468,78,465
