19 November 2019 17:13:27
Time (ms),HR (bpm),R-R (ms)
4411,102,607
5019,102,608
5626,102,607
6209,103,583
6773,103,564
7337,104,564
7905,104,568
8470,106,565
9035,106,565
9615,105,580
10237,105,622
10862,104,625
11475,103,613
12102,103,627
12748,102,646
13370,101,622
13979,101,609
14583,101,604
15189,101,606
15800,101,611
16402,102,602
16985,102,583
17551,103,566
18114,103,563
18696,104,582
19289,104,593
19883,104,594
20464,104,581
21038,104,574
21619,105,581
22202,105,583
22801,104,599
23424,104,623
24081,102,657
24736,101,655
25360,101,624
25965,101,605
26565,101,600
27147,102,582
27721,103,574
28291,103,570
28852,105,561
29408,105,556
29951,107,543
30488,107,537
31023,109,535
31558,109,535
32090,110,532
32619,110,529
33146,112,527
33672,112,526
34206,112,534
34755,112,549
35305,112,550
35861,111,556
36432,111,571
36995,111,563
37550,111,555
38110,110,560
38683,110,573
39262,109,579
39841,109,579
40405,110,564
40955,110,550
41505,110,550
42060,110,555
42623,110,563
43182,110,559
43726,110,544
44266,111,540
44801,111,535
45342,112,541
45890,112,548
46445,111,555
47000,111,555
47548,112,548
48097,112,549
48653,111,556
49228,110,575
49803,110,575
50370,110,567
50924,110,554
51483,110,559
52052,110,569
52635,109,583
53206,109,571
53767,109,561
54316,110,549
54869,110,553
55434,109,565
56020,109,586
56599,109,579
57169,109,570
57745,108,576
58341,108,596
58956,107,615
59553,106,597
60135,106,582
60724,105,589
61336,105,612
61973,104,637
62607,103,634
63212,103,605
63815,102,603
64429,102,614
65052,102,623
65648,103,596
66227,103,579
66799,103,572
67382,103,583
67994,102,612
68613,102,619
69222,102,609
69834,101,612
70466,101,632
71124,100,658
71759,100,635
72375,100,616
72993,100,618
73619,100,626
74241,99,622
74849,100,608
75445,100,596
76053,100,608
76674,100,621
77293,100,619
77893,100,600
78492,100,599
79097,101,605
79682,101,585
80245,103,563
80807,103,562
81365,105,558
81925,105,560
82502,105,577
83097,104,595
83699,104,602
84289,104,590
84876,104,587
85476,104,600
86093,103,617
86719,103,626
87321,103,602
87905,103,584
88489,103,584
89085,103,596
89694,103,609
90292,103,598
90875,103,583
91452,103,577
92047,103,595
92673,103,626
93304,102,631
93919,102,615
94526,101,607
95145,101,619
95782,101,637
96413,100,631
97019,100,606
97616,101,597
98210,101,594
98797,101,587
99371,103,574
99931,103,560
100492,104,561
101088,104,596
101790,104,702
102489,104,699
103171,104,682
103875,102,704
104596,99,721
105258,99,662
105892,99,634
106541,97,649
107219,97,678
107907,96,688
108550,96,643
109166,97,616
109800,96,634
110460,96,660
111142,95,682
111796,95,654
112431,95,635
113071,95,640
113738,94,667
114429,94,691
115092,94,663
115726,94,634
116365,95,639
117011,95,646
117644,95,633
118259,96,615
118863,97,604
119490,97,627
120148,96,658
120809,96,661
121443,96,634
122067,96,624
122688,96,621
123318,97,630
123943,97,625
124546,97,603
125125,99,579
125702,99,577
126276,101,574
126844,101,568
127401,103,557
127955,103,554
128517,104,562
129101,104,584
129679,104,578
130247,105,568
130819,105,572
131392,105,573
131981,105,589
132568,105,587
133139,105,571
133699,106,560
134266,106,567
134838,106,572
135410,107,572
135970,107,560
136521,108,551
137074,108,553
137635,109,561
138189,109,554
138725,110,536
139260,110,535
139795,111,535
140327,111,532
140869,111,542
141430,111,561
141998,111,568
142560,110,562
143118,110,558
143685,110,567
144266,110,581
144851,109,585
145426,109,575
145989,109,563
146569,108,580
147160,108,591
147741,107,581
148323,107,582
148907,107,584
149470,107,563
