20 November 2019 10:46:09
Time (ms),HR (bpm),R-R (ms)
6556,72,836
7383,72,827
8257,72,874
9163,72,906
10010,72,847
10857,72,847
11784,71,927
12729,70,945
13673,70,944
14641,69,968
15638,68,997
16631,67,993
17601,67,970
18514,67,913
19417,67,903
20396,66,979
21412,65,1016
22377,65,965
23318,65,941
24304,65,986
25292,64,988
26235,65,943
27184,65,949
28176,64,992
29186,64,1010
30156,64,970
31112,64,956
32104,64,992
33099,63,995
34048,64,949
34988,64,940
35966,64,978
36932,64,966
37855,64,923
38645,64,790
39508,65,863
40482,65,974
41436,65,954
42420,64,984
43420,64,1000
44398,64,978
45331,64,933
46257,64,926
47155,65,898
48082,65,927
48980,65,898
49930,65,950
50955,65,1025
51975,64,1020
52968,64,993
53973,63,1005
54991,63,1018
55979,63,988
56952,63,973
57934,63,982
58937,63,1003
59931,62,994
60963,62,1032
62026,62,1063
63084,61,1058
64103,61,1019
65148,61,1045
66230,60,1082
67274,60,1044
68307,60,1033
69354,60,1047
70432,59,1078
71475,59,1043
72475,60,1000
73500,60,1025
74549,60,1049
75574,60,1025
76638,59,1064
77718,59,1080
78775,59,1057
79781,59,1006
80784,59,1003
81825,59,1041
82871,59,1046
83890,59,1019
84933,59,1043
86006,59,1073
87067,59,1061
88060,59,993
89008,60,948
89995,60,987
91005,60,1010
91994,60,989
92969,61,975
93981,61,1012
95007,61,1026
96022,61,1015
96960,61,938
97819,63,859
98713,63,894
99695,63,982
100700,63,1005
101645,63,945
102548,64,903
103501,64,953
104510,63,1009
105476,64,966
106418,63,942
107403,63,985
108420,63,1017
109394,63,974
110354,63,960
111370,63,1016
112348,63,978
113295,63,947
114298,63,1003
115311,63,1013
116286,63,975
117282,62,996
118141,64,859
118988,65,847
119907,65,919
120935,64,1028
121966,64,1031
122961,64,995
123922,64,961
124892,64,970
125883,64,991
126806,64,923
127694,64,888
128660,64,966
129651,64,991
130625,64,974
131555,64,930
132453,65,898
133381,65,928
134368,64,987
135307,64,939
136231,65,924
137227,64,996
138236,64,1009
139221,64,985
140226,63,1005
141251,63,1025
142230,63,979
143172,63,942
144132,63,960
145125,63,993
146074,63,949
146998,64,924
147977,64,979
148980,63,1003
149954,63,974
150940,63,986
151926,63,986
152870,63,944
153795,63,925
154729,64,934
155675,64,946
156582,64,907
157522,64,940
158405,65,883
159310,66,905
160178,66,868
