20 November 2019 15:15:10
Time (ms),HR (bpm),R-R (ms)
5914,92,667
6601,92,687
7318,91,717
8027,91,709
8697,91,670
9352,91,655
10029,90,677
10733,90,704
11406,91,673
12074,92,668
12703,92,629
13315,93,612
13944,93,629
14725,91,781
15566,91,841
16411,91,845
17224,88,813
17982,88,758
18694,88,712
19344,88,650
19968,88,624
20588,89,620
21234,89,646
21943,89,709
22716,89,773
23457,87,741
24213,87,756
25023,86,810
25853,84,830
26639,84,786
27342,84,703
28041,84,699
28752,85,711
29458,85,706
30154,85,696
30811,87,657
31482,87,671
32177,87,695
32929,86,752
33683,85,754
34426,85,743
35097,86,671
35756,88,659
36428,88,672
37158,87,730
37972,86,814
38734,85,762
39458,85,724
40218,84,760
41012,84,794
41828,82,816
42604,82,776
43310,83,706
43998,84,688
44709,84,711
45485,83,776
46296,82,811
47043,82,747
47815,82,772
48618,81,803
49435,80,817
50197,81,762
50911,81,714
51623,82,712
52361,82,738
53125,82,764
53865,82,740
54559,83,694
55252,84,693
55950,84,698
56739,83,789
57545,82,806
58319,82,774
59046,82,727
59773,83,727
60523,83,750
61320,81,797
62145,81,825
62903,81,758
63648,81,745
64391,81,743
65153,81,762
65945,81,792
66719,81,774
67460,80,741
68249,80,789
69070,80,821
69919,79,849
70722,80,803
71413,80,691
72059,80,646
72701,80,642
73282,80,581
73896,82,614
74775,82,879
75712,82,937
76585,81,873
77465,81,880
78336,80,871
79138,79,802
79839,79,701
80514,79,675
81204,79,690
82085,78,881
83036,76,951
83994,75,958
84910,74,916
85726,74,816
86500,75,774
87287,75,787
88116,75,829
88983,74,867
89838,74,855
90602,75,764
91319,76,717
92050,77,731
92866,77,816
93775,76,909
94678,75,903
95535,74,857
96297,75,762
97076,76,779
97892,76,816
98723,75,831
99553,75,830
100337,76,784
101114,76,777
101904,76,790
102686,77,782
103436,78,750
104186,78,750
104996,78,810
105858,77,862
106745,76,887
107570,76,825
108381,75,811
109208,75,827
110055,75,847
110836,76,781
111601,76,765
112386,76,785
113226,76,840
114073,75,847
114837,76,764
115590,77,753
116371,77,781
117227,76,856
118080,76,853
118866,76,786
119645,76,779
120468,76,823
121363,75,895
122232,75,869
123045,75,813
123891,75,846
124776,74,885
125625,74,849
126455,74,830
127218,75,763
127953,77,735
128699,77,746
129512,76,813
130388,76,876
131214,75,826
132029,75,815
132876,75,847
133756,74,880
134586,74,830
135334,75,748
136087,77,753
136849,77,762
137669,76,820
138420,77,751
139192,77,772
140010,77,818
140840,77,830
141656,77,816
142424,77,768
143220,77,796
144045,77,825
144843,77,798
145714,76,871
146626,75,912
147496,74,870
148356,73,860
149253,73,897
150162,72,909
150976,73,814
151744,74,768
152524,74,780
153352,74,828
154167,74,815
154939,75,772
155723,75,784
156500,77,777
157246,77,746
