20 November 2019 11:54:44
Time (ms),HR (bpm),R-R (ms)
15754,80,773
16558,79,804
17371,79,813
18127,79,756
18920,79,793
19752,78,832
20614,77,862
21478,77,864
22341,76,863
23161,76,820
23920,77,759
24643,77,723
25343,77,700
26039,79,696
26779,79,740
27557,79,778
28355,79,798
29133,79,778
29864,80,731
30607,80,743
31369,80,762
32200,79,831
33056,78,856
33933,77,877
34771,77,838
35574,77,803
36377,77,803
37195,77,818
38048,75,853
38924,75,876
39727,75,803
40553,75,826
41377,75,824
42221,75,844
43045,75,824
43821,75,776
44632,75,811
45464,75,832
46337,75,873
47157,75,820
48018,74,861
48879,74,861
49747,73,868
50601,73,854
51394,74,793
52219,74,825
53048,74,829
53909,73,861
54727,74,818
55578,73,851
56443,73,865
57301,73,858
58116,73,815
58861,74,745
59636,75,775
60449,75,813
61314,74,865
62160,74,846
62989,74,829
63825,74,836
64678,74,853
65509,74,831
66292,74,783
67093,75,801
67888,75,795
68661,75,773
69426,76,765
70236,76,810
71058,76,822
71910,76,852
72687,76,777
73499,76,812
74334,76,835
75182,75,848
76043,75,861
76837,75,794
77631,75,794
78430,75,799
79256,75,826
80127,74,871
80962,74,835
81785,75,823
82616,74,831
83456,74,840
84255,75,799
85029,75,774
85816,75,787
86632,75,816
87462,75,830
88232,76,770
89051,76,819
89914,75,863
90824,74,910
91656,74,832
92490,74,834
93344,73,854
94236,73,892
95152,72,916
95988,73,836
96777,73,789
97589,74,812
98422,73,833
99314,73,892
100185,73,871
100977,73,792
101801,74,824
102648,73,847
103532,73,884
104398,73,866
105198,73,800
106042,73,844
106898,73,856
107769,72,871
108644,72,875
109470,73,826
110242,74,772
111038,74,796
111857,74,819
112704,74,847
113539,74,835
114321,75,782
115131,75,810
115967,74,836
116818,74,851
117601,75,783
118389,75,788
119184,75,795
120009,75,825
120858,75,849
121652,75,794
122415,76,763
123202,76,787
124023,75,821
124876,75,853
125689,75,813
126476,76,787
127281,76,805
128103,76,822
128936,75,833
129735,76,799
130515,76,780
131319,76,804
132135,76,816
132953,76,818
133704,77,751
134474,77,770
135266,77,792
136091,77,825
136945,76,854
137751,76,806
138518,77,767
139305,77,787
140114,77,809
140961,76,847
141810,76,849
142591,76,781
143372,76,781
144159,77,787
144978,76,819
145824,76,846
146608,76,784
147395,76,787
148195,76,800
149035,76,840
149894,76,859
150691,76,797
151506,76,815
152344,75,838
153217,75,873
154097,74,880
154920,74,823
155772,74,852
156617,74,845
157446,74,829
158207,75,761
158986,76,779
159774,76,788
160593,75,819
161360,76,767
162155,76,795
162979,76,824
163796,76,817
164557,76,761
165333,77,776
166103,78,770
166844,78,741
167550,79,706
168265,81,715
168988,81,723
169725,81,737
