20 November 2019 10:23:57
Time (ms),HR (bpm),R-R (ms)
10545,60,1100
11618,60,1073
12617,60,999
13713,60,1096
14735,60,1022
15739,60,1004
16840,59,1101
17875,59,1035
18804,60,929
19873,60,1069
20967,59,1094
21903,60,936
22947,60,1044
24056,59,1109
25063,59,1007
26130,59,1067
27246,59,1116
28224,59,978
29230,59,1006
30330,59,1100
31427,59,1097
32337,60,910
33271,61,934
34291,60,1020
35460,60,1169
36530,59,1070
37473,60,943
38496,60,1023
39578,60,1082
40578,60,1000
41660,59,1082
42811,59,1151
43883,59,1072
44860,59,977
45896,59,1036
46963,60,1067
47906,60,943
48929,60,1023
50005,59,1076
51015,59,1010
51990,60,975
53047,60,1057
54096,60,1049
55035,60,939
56135,60,1100
57319,59,1184
58388,58,1069
59349,59,961
60410,59,1061
61552,58,1142
62586,58,1034
63619,59,1033
64717,58,1098
65726,59,1009
66674,59,948
67684,60,1010
68727,59,1043
69652,60,925
70575,61,923
71548,61,973
72664,61,1116
73619,62,955
74541,62,922
75485,62,944
76475,62,990
77500,62,1025
78597,61,1097
79539,62,942
80555,61,1016
81719,60,1164
82855,59,1136
83828,60,973
84868,60,1040
85976,59,1108
87051,59,1075
88082,59,1031
89206,59,1124
90377,58,1171
91415,58,1038
92539,57,1124
93668,57,1129
94627,58,959
95658,58,1031
96743,58,1085
97773,58,1030
98719,59,946
99764,59,1045
100843,59,1079
101785,60,942
102745,60,960
103767,60,1022
104811,60,1044
105763,61,952
106765,61,1002
107861,60,1096
108938,60,1077
109897,60,959
110949,60,1052
112086,59,1137
113131,59,1045
114124,59,993
115259,59,1135
116379,58,1120
117335,59,956
118410,59,1075
119505,58,1095
120459,59,954
121558,59,1099
122724,58,1166
123711,58,987
124766,58,1055
125908,58,1142
126886,58,978
127886,60,1000
128791,60,905
129831,60,1040
130869,60,1038
131815,60,946
132864,60,1049
133988,59,1124
134966,60,978
136010,60,1044
137120,59,1110
138132,59,1012
139117,60,985
140178,59,1061
141180,60,1002
142110,60,930
143206,60,1096
144314,59,1108
145269,60,955
146353,59,1084
147475,59,1122
148454,59,979
149535,59,1081
150643,59,1108
151597,59,954
152681,59,1084
153833,58,1152
154828,59,995
155927,58,1099
157078,58,1151
158088,58,1010
159117,58,1029
160193,58,1076
161103,59,910
162104,60,1001
163073,60,969
163929,61,856
164869,62,940
165821,63,952
166719,63,898
167693,63,974
168669,63,976
169579,64,910
170533,64,954
