19 November 2019 11:44:36
Time (ms),HR (bpm),R-R (ms)
6741,67,978
7698,67,957
8688,66,990
9681,66,993
10654,65,973
11638,65,984
12623,65,985
13562,65,939
14518,65,956
15482,64,964
16451,64,969
17394,64,943
18319,65,925
19237,65,918
20135,66,898
21008,66,873
21944,66,936
22895,66,951
23811,66,916
24782,65,971
25751,65,969
26691,65,940
27656,65,965
28620,65,964
29553,65,933
30462,65,909
31391,65,929
32343,65,952
33284,65,941
34263,65,979
35251,65,988
36226,64,975
37218,64,992
38233,64,1015
39250,63,1017
40212,63,962
41188,63,976
42177,63,989
43154,63,977
44120,63,966
45108,63,988
46070,63,962
47034,63,964
48021,63,987
48991,63,970
49958,63,967
50930,63,972
51871,63,941
52839,63,968
53814,63,975
54777,63,963
55785,63,1008
56809,63,1024
57796,63,987
58797,62,1001
59817,62,1020
60811,62,994
61776,62,965
62777,62,1001
63753,62,976
64711,62,958
65703,62,992
66724,62,1021
67702,62,978
68707,62,1005
69764,61,1057
70807,61,1043
71795,61,988
72799,61,1004
73793,61,994
74741,62,948
75731,62,990
76719,62,988
77668,62,949
78702,62,1034
79712,62,1010
80705,62,993
81709,62,1004
82690,62,981
83682,62,992
84676,62,994
85664,62,988
86631,62,967
87600,62,969
88583,62,983
89539,62,956
90530,62,991
91515,62,985
92511,62,996
93501,62,990
94486,62,985
95481,62,995
96500,62,1019
97479,62,979
98441,62,962
99423,62,982
100404,62,981
101386,62,982
102384,62,998
103360,62,976
104317,63,957
105297,63,980
106272,63,975
107242,63,970
108235,63,993
109215,63,980
110200,63,985
111199,63,999
112176,63,977
113137,63,961
114129,63,992
115114,63,985
116057,63,943
117030,63,973
118017,63,987
118984,63,967
119959,63,975
120954,63,995
121962,63,1008
122921,63,959
123907,63,986
124912,62,1005
125928,62,1016
126910,62,982
127921,62,1011
128930,62,1009
129912,62,982
130906,62,994
131929,62,1023
132929,62,1000
133907,62,978
134914,62,1007
135918,62,1004
136886,62,968
137882,62,996
138856,62,974
139801,62,945
140770,62,969
141726,63,956
142683,63,957
143670,63,987
144641,63,971
145598,63,957
146575,63,977
147548,63,973
148494,63,946
149457,63,963
150433,63,976
151417,63,984
152391,63,974
153331,63,940
154254,65,923
155121,65,867
