19 November 2019 16:11:36
Time (ms),HR (bpm),R-R (ms)
2871,87,868
3633,86,762
4398,85,765
5153,85,755
5908,84,755
6604,85,696
7301,85,697
8042,85,741
8811,84,769
9561,84,750
10274,84,713
11055,84,781
11914,82,859
12715,81,801
13447,82,732
14179,82,732
14958,82,779
15759,82,801
16478,82,719
17196,82,718
17955,82,759
18726,81,771
19538,81,812
20264,81,726
20942,84,678
21611,84,669
22301,84,690
23024,84,723
23844,83,820
24704,81,860
25602,81,898
26457,80,855
27229,80,772
27997,80,768
28784,79,787
29621,79,837
30453,78,832
31214,79,761
31982,79,768
32784,79,802
33621,78,837
34403,78,782
35204,78,801
36021,77,817
36869,77,848
37644,77,775
38402,78,758
39205,77,803
40036,77,831
40832,77,796
41571,78,739
42344,79,773
43054,79,710
43762,80,708
44455,81,693
45170,82,715
45939,82,769
46701,81,762
47432,82,731
48192,82,760
49000,81,808
49823,80,823
50565,81,742
51293,81,728
52041,81,748
52829,81,788
53540,83,711
54208,83,668
54875,84,667
55514,87,639
56148,87,634
56813,87,665
57570,87,757
58367,87,797
59138,86,771
59843,86,705
60550,86,707
61282,86,732
62040,85,758
62841,84,801
63672,82,831
64460,82,788
65197,82,737
65947,82,750
66728,81,781
67538,81,810
68357,80,819
69117,80,760
69826,82,709
70514,82,688
71234,83,720
72028,82,794
72886,79,858
73758,79,872
74558,79,800
75283,80,725
76012,80,729
76788,80,776
77659,79,871
78550,78,891
79370,77,820
80218,77,848
81107,75,889
82005,75,898
82884,74,879
83666,75,782
84387,75,721
85133,75,746
85998,75,865
86916,74,918
87768,74,852
88599,74,831
89489,73,890
90382,73,893
91289,73,907
92082,73,793
92786,73,704
93494,74,708
94243,74,749
95119,73,876
96050,72,931
96939,72,889
97745,72,806
98572,73,827
99450,73,878
100258,73,808
101058,73,800
101826,74,768
102534,77,708
103252,77,718
104038,77,786
104881,77,843
105645,77,764
106403,77,758
107226,77,823
108094,76,868
108873,77,779
109668,77,795
110491,77,823
111316,76,825
112059,77,743
112806,78,747
113571,78,765
114346,78,775
115067,79,721
115842,78,775
116708,78,866
117605,77,897
118396,77,791
119177,77,781
120004,76,827
120865,76,861
121653,76,788
122405,77,752
123193,77,788
124034,77,841
124829,77,795
125552,78,723
126314,78,762
127103,78,789
127934,78,831
128693,78,759
129486,78,793
130324,77,838
131204,77,880
131975,77,771
132717,78,742
133471,78,754
134286,77,815
135082,77,796
135871,78,789
136716,77,845
137651,76,935
138518,75,867
139333,75,815
140165,75,832
141008,75,843
141818,75,810
142549,77,731
143257,77,708
143996,78,739
144785,78,789
145627,77,842
146413,77,786
147140,78,727
147812,81,672
148508,81,696
