Zeit in Sekunden,Messwerte
0.2,7.87572733385536
0.4,7.537079806266708
0.6000000000000001,7.520898152158692
0.8,7.501028952284487
1,7.483726727004707
1.2,7.470703237377949
1.4,7.462630133767044
1.6,7.462928687745404
1.8,7.469666915367155
2,7.489346733043734
2.2,7.519763264462878
2.4,7.563461876990677
2.6,7.614109236068048
2.8,7.665764129212961
3,7.710611502464654
3.200000000000001,7.749012563118047
3.400000000000001,7.778914388818873
3.600000000000001,7.800243156728441
3.800000000000001,7.813317131211981
4.000000000000001,7.833322459416814
4.200000000000001,7.858683871300567
4.400000000000001,7.881859242832373
4.600000000000001,7.897781040607612
4.800000000000002,7.905249577969804
5.000000000000002,7.899126036677027
5.200000000000002,7.88350110025896
5.400000000000002,7.860664325669593
5.600000000000002,7.834842075540458
5.800000000000002,7.800484924122903
6.000000000000003,7.765900195158491
6.200000000000003,7.729976167406912
6.400000000000003,7.695784480992791
6.600000000000003,7.671016687943006
6.800000000000003,7.656353040392601
7.000000000000004,7.647236697813197
7.200000000000004,7.638262344386963
7.400000000000004,7.630203240392519
7.600000000000004,7.620184675971839
7.800000000000004,7.604300749199887
8.000000000000004,7.588338191743362
8.200000000000003,7.570158760005879
8.400000000000002,7.550911575664475
8.600000000000001,7.531342785410475
8.800000000000001,7.512231952788625
9,7.491934290343124
9.199999999999999,7.474568188826972
9.399999999999999,7.458588747023636
9.599999999999998,7.44365217511182
9.799999999999997,7.429927827691841
9.999999999999996,7.412628824715248
10.2,7.397605285573031
10.4,7.383703312758986
10.59999999999999,7.369345845010758
10.79999999999999,7.353947178130162
10.99999999999999,7.341477005197631
11.19999999999999,7.326643087805558
11.39999999999999,7.314566048499731
11.59999999999999,7.302515414212644
11.79999999999999,7.289204579259508
11.99999999999999,7.276781735607553
12.19999999999999,7.26469779397801
12.39999999999999,7.253236925783108
12.59999999999999,7.242747544515075
12.79999999999999,7.232960960648883
12.99999999999999,7.226560771734031
13.19999999999999,7.223516264258972
13.39999999999998,7.232475973630391
13.59999999999998,7.251157183969477
13.79999999999998,7.276857740609973
13.99999999999998,7.313345497386273
14.19999999999998,7.345138158477273
14.39999999999998,7.374553341729936
14.59999999999998,7.395338151700133
14.79999999999998,7.408039354381181
14.99999999999998,7.408648380194238
15.19999999999998,7.401727592872496
15.39999999999998,7.389007532447339
15.59999999999998,7.377700108841117
15.79999999999998,7.361082648616049
15.99999999999998,7.34160798803192
16.19999999999997,7.323226227304862
16.39999999999997,7.306559428065594
16.59999999999997,7.288042603893702
16.79999999999997,7.272962147518958
16.99999999999997,7.258614109345249
17.19999999999997,7.245948438524299
17.39999999999997,7.232827717824267
17.59999999999997,7.220275643932289
17.79999999999997,7.21050691752693
17.99999999999997,7.199119817833747
18.19999999999997,7.1898490610341
18.39999999999997,7.180240929608358
18.59999999999997,7.1764154695691
18.79999999999997,7.176694134489332
18.99999999999996,7.18391686192829
19.19999999999996,7.190888491113462
19.39999999999996,7.193350608565487
19.59999999999996,7.197731005185694
19.79999999999996,7.200529838259752
19.99999999999996,7.205174104642607
20.19999999999996,7.208804467920592
20.39999999999996,7.213145697498203
20.59999999999996,7.216208718355837
20.79999999999996,7.215492485338948
20.99999999999996,7.205776328759636
21.19999999999996,7.198721313146307
21.39999999999996,7.191118041658179
21.59999999999996,7.179438134032389
21.79999999999995,7.16756489839932
21.99999999999995,7.154378310729803
22.19999999999995,7.144358264144369
22.39999999999995,7.131899928215818
22.59999999999995,7.121446456300927
22.79999999999995,7.112119356993157
22.99999999999995,7.102453873046286
23.19999999999995,7.09109864858145
23.39999999999995,7.083075183004206
23.59999999999995,7.073427870114964
23.79999999999995,7.063835236904319
23.99999999999995,7.056660039760424
24.19999999999995,7.050200786250427
24.39999999999995,7.042380497666612
24.59999999999994,7.035496120739903
24.79999999999994,7.029541856594654
24.99999999999994,7.029922515452105
25.19999999999994,7.039766346753983
25.39999999999994,7.050948426691203
25.59999999999994,7.061965914580921
25.79999999999994,7.069719695274201
25.99999999999994,7.073719884841513
26.19999999999994,7.075465513505049
26.39999999999994,7.073615953037796
26.59999999999994,7.067970537827309
26.79999999999994,7.059471898113385
26.99999999999994,7.050679067778195
27.19999999999994,7.039649263882358
27.39999999999993,7.029761004929718
27.59999999999993,7.020433906173741
27.79999999999993,7.010533699108732
27.99999999999993,7.00142908977239
28.19999999999993,6.992225006406946
28.39999999999993,6.985432874167007
28.59999999999993,6.97765198249418
28.79999999999993,6.970733169357666
28.99999999999993,6.965169939490105
29.19999999999993,6.956273452951163
29.39999999999993,6.947790456005232
29.59999999999993,6.940906997196483
29.79999999999993,6.937111025666789
29.99999999999993,6.931488981273609
30.19999999999992,6.933603147226858
30.39999999999992,6.945130010808779
30.59999999999992,6.95826009611318
30.79999999999992,6.969894873627944
30.99999999999992,6.982676091229186
31.19999999999992,6.989334986802357
31.39999999999992,6.994249363715411
31.59999999999992,6.99585737713394
31.79999999999992,6.992208707547398
31.99999999999992,6.986913428435671
32.19999999999992,6.981942294016707
32.39999999999992,6.979138721797216
32.59999999999992,6.982623132767345
32.79999999999993,7.000125720325802
32.99999999999993,7.022949723083934
33.19999999999993,7.045139142199626
33.39999999999993,7.066915680210567
33.59999999999994,7.096116585605012
33.79999999999994,7.149190430336293
33.99999999999994,7.225253045326739
34.19999999999995,7.306598132938221
34.39999999999995,7.379967472324212
34.59999999999995,7.430178622967798
34.79999999999995,7.465275320172633
34.99999999999996,7.484305571913789
35.19999999999996,7.495074515711018
35.39999999999996,7.492755267674318
35.59999999999997,7.477906930971954
